Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class,Quantity
2,Truth Bound Fire,Ursula Zimmerman,Knopf,1350747104,Chinese,130.82,2000-02-02,Poetry,4
11,Betrayal Thorns Ashes,Owen Nelson,Wiley,7785247094,Chinese,161.43,1984-07-23,Poetry,5
17,Light Fate,Zachary Walker,NewDirections,4413053070,Chinese,46.46,1950-12-11,Fiction,15
21,Phoenix Serpent,Phoebe Richards,KnopfDoubleday,5737991374,Chinese,114.18,1906-05-05,Fiction,15
22,Truth Rebirth Phoenix,David White,BluebirdBooks,5364722081,Chinese,43.81,1927-06-15,Science,5
27,Rebirth Storms,Wendy Quinn,TorBooks,2600647745,Chinese,185.12,1974-11-18,Drama,5
35,Soul Dawn Fate,Finn Lewis,PrincetonPress,1711868362,Chinese,103.42,1928-09-28,Philosophy,16
45,Memory Lost,Brian O'Connor,VikingPress,4165913345,Chinese,134.52,2019-03-02,Fiction,1
46,Rain Veil,Frederick Lewis,Sourcebooks,9700875756,Chinese,14.86,1908-05-06,Philosophy,19
49,Shadows Flame Legacy,Isabella Davis,PrincetonPress,6146019748,Chinese,36.34,1955-09-03,Drama,4
51,Echoes Rebirth,Clara Lewis,Penguin,8837562999,Chinese,46.77,2012-05-29,Poetry,12
54,Flame Legacy Ashes,Mia Lewis,HarvardPress,9000767174,Chinese,115.32,1963-08-08,Travel,20
61,Veins Veil Rising,Sophia Lewis,TarcherPerigee,5618845904,Chinese,155.18,1927-08-15,Science,19
65,Horizon Truth,Ryan Brooks,PrincetonPress,9955674766,Chinese,141.87,2024-04-09,Engineering,19
67,Veil Path,Katie Kelly,Doubleday,7055805263,Chinese,148.86,1991-01-29,Philosophy,17
80,Infinity Blood,Thomas Lewis,Hachette,2692338078,Chinese,70.4,1971-03-02,Biography,3
91,Lost Thorns,Zoe Fisher,ChronicleBooks,1590449232,Chinese,82.47,1927-03-11,Biography,16
92,Truth Rift Echoes,Jack Fisher,Routledge,8480266846,Chinese,33.48,2021-06-20,Drama,4
99,Kingdom Veins,Mia Daniels,Scribner,2448236916,Chinese,80.54,1913-12-02,Fine_Arts,18
