Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class,Quantity
12,Phoenix Sins Ashes,Isabella Hill,LittleBrown,3203690377,Russian,55.89,1957-06-09,Drama,15
16,Truth Heart Rebirth,Clara Smith,WorkmanPublishing,5947186421,English,11.3,1947-07-03,Drama,18
19,Horizon Heart,Clara James,Wiley,3306937421,English,182.4,1936-07-20,Drama,8
27,Rebirth Storms,Wendy Quinn,TorBooks,2600647745,Chinese,185.12,1974-11-18,Drama,5
39,Thorns Dream,Daniel Walker,Scholastic,7911721790,English,51.26,1945-11-08,Drama,14
49,Shadows Flame Legacy,Isabella Davis,PrincetonPress,6146019748,Chinese,36.34,1955-09-03,Drama,4
62,Blood Sins Rising,Lucas Nelson,FlatironBooks,4758056443,French,60.18,1964-04-01,Drama,1
69,Fire Serpent,Will Fisher,HoughtonMifflin,5324878212,English,99.64,1982-10-02,Drama,7
77,Silence Light,Taylor Anderson,GreenleafBookGroup,7611757337,French,185.58,1917-11-11,Drama,1
78,Flame Kingdom Wings,Xavier Edwards,Liveright,8832312144,Spanish,169.72,1929-07-31,Drama,20
92,Truth Rift Echoes,Jack Fisher,Routledge,8480266846,Chinese,33.48,2021-06-20,Drama,4
