Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class ID,Quantity
3,Path Nightfall,Ethan Green,BluebirdBooks,8959276091,Spanish,10.59,2010-01-06,10,4
10,Secrets Fire Rebirth,Grace Daniels,BerkleyBooks,7075851577,French,49.77,1921-05-12,10,8
15,Veins Infinity Edge,Phoebe White,EccoPress,4369454841,French,127.38,1969-08-17,10,6
16,Mirror Whisper,Ivy Edwards,NewDirections,8931192723,Chinese,142.9,1982-07-12,10,15
17,Edge Rising,Jack Taylor,WorkmanPublishing,2513860900,French,197.83,1929-04-29,10,18
22,Veil Secrets,Yvonne Roberts,EccoPress,4155615532,Chinese,190.74,1954-08-14,10,20
28,Fate Soul,Yvonne Zimmerman,Scribner,8196161095,French,137.23,1980-04-05,10,5
35,Rising Blood Phoenix,Thomas Xander,Cambridge,4365129734,Russian,107.49,1988-03-18,10,13
54,Legacy Mirror Dream,Thomas Grant,AcornPress,5489096246,English,50.73,1980-09-06,10,13
57,Dawn Kingdom,Sophia Xu,Macmillan,4391993331,English,71.71,1923-09-14,10,19
58,Light Echoes Truth,Henry Richards,Doubleday,6670566652,Chinese,173.26,2006-03-11,10,12
73,Dream Whisper,Ursula Edwards,AcornPress,2951319542,Russian,181.3,2020-01-09,10,20
75,Rift Bound,Sophia Jackson,KnopfDoubleday,3471815217,French,83.86,1958-10-20,10,3
80,Sins Horizon Wings,Una Anderson,SealPress,8324160601,Russian,132.45,2022-02-15,10,11
83,Infinity Shadows,Grace Foster,NewDirections,3823691181,French,69.17,1977-10-26,10,8
84,Dream Legacy,Charlotte Lewis,Scholastic,9538810485,Chinese,124.22,1911-01-10,10,17
