Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class,Quantity
28,Truth Path,Peter Walker,Pearson,7178941092,Russian,147.9,1962-03-30,Fine_Arts,4
29,Light Path Horizon,Frederick Quinn,TarcherPerigee,2071215199,French,167.15,1935-02-07,Fine_Arts,10
48,Rising Thorns,Wendy Yates,Abrams,7826882178,French,123.48,1936-08-11,Fine_Arts,20
60,Rain Betrayal,Daniel Campbell,RandomHouse,6718078935,English,199.45,1924-03-20,Fine_Arts,18
64,Betrayal Horizon,Ethan Smith,Macmillan,4653049824,Spanish,85.71,1914-06-03,Fine_Arts,12
82,Echoes Edge,Lucas Roberts,PenguinRandomHouse,6317822458,Russian,142.72,1964-12-11,Fine_Arts,10
83,Tempest Soul,Frederick Brown,Zondervan,8902327562,Spanish,127.56,1942-08-28,Fine_Arts,11
87,Journey Blood,Una Roberts,PrincetonPress,7456310876,Russian,170.81,2009-03-06,Fine_Arts,20
90,Legacy Fate Moon,Olivia Jackson,HarvardPress,2755599212,Russian,11.45,2007-06-06,Fine_Arts,3
99,Kingdom Veins,Mia Daniels,Scribner,2448236916,Chinese,80.54,1913-12-02,Fine_Arts,18
