Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class,Quantity
4,Flame Wings,Olivia Davis,EccoPress,8200102813,French,138.38,1932-09-23,Fiction,1
5,Fate Truth Phoenix,Phoebe Miller,Cambridge,7679579292,French,23.21,1992-03-31,Fiction,11
17,Light Fate,Zachary Walker,NewDirections,4413053070,Chinese,46.46,1950-12-11,Fiction,15
20,Wings Sins,Taylor Walker,ArcadePublishing,5364049427,Spanish,134.23,1930-01-11,Fiction,16
21,Phoenix Serpent,Phoebe Richards,KnopfDoubleday,5737991374,Chinese,114.18,1906-05-05,Fiction,15
31,Heart Silence,Owen King,Doubleday,9718902533,French,71.08,1943-01-12,Fiction,15
37,Mirror Whisper,Grace Davis,AcornPress,2107309698,Russian,36.05,1988-03-28,Fiction,13
45,Memory Lost,Brian O'Connor,VikingPress,4165913345,Chinese,134.52,2019-03-02,Fiction,1
57,Rain Ashes Echo,Katie Underwood,VikingPress,1373454263,Russian,96.15,1947-12-07,Fiction,19
58,Thorns Storms Echo,Alice Lee,SkyhorsePublishing,7696805346,Spanish,188.99,1914-08-27,Fiction,19
85,Wings Dream Infinity,Will White,Zondervan,1579205042,French,28.41,1972-01-11,Fiction,2
