Book ID,Name,Author,Publish,ISBN,Language,Price,Pub Date,Class ID,Quantity
3,Moon Rising,Gemma Fisher,PlumeBooks,5006870176,Spanish,49.79,1946-05-02,10,2
49,Shadows Dream,Alice Lee,GreenleafBookGroup,3192108881,English,123.41,1910-04-16,10,9
54,Rain Lost Bound,Brian Usher,RowmanLittlefield,1212911818,Chinese,84.28,1942-09-08,10,10
60,Flame Serpent,Yvonne Xander,Routledge,2407374228,Russian,109.93,1943-09-08,10,4
65,Serpent Echoes Dream,David White,Cambridge,6778949647,French,155.2,1921-08-30,10,7
74,Veins Blood Fate,Noah Xu,UniversityPress,2046782566,Spanish,172.42,1903-04-30,10,13
3,Moon Rising,Gemma Fisher,PlumeBooks,5006870176,Spanish,49.79,1946-05-02,10,2
49,Shadows Dream,Alice Lee,GreenleafBookGroup,3192108881,English,123.41,1910-04-16,10,9
54,Rain Lost Bound,Brian Usher,RowmanLittlefield,1212911818,Chinese,84.28,1942-09-08,10,10
60,Flame Serpent,Yvonne Xander,Routledge,2407374228,Russian,109.93,1943-09-08,10,4
65,Serpent Echoes Dream,David White,Cambridge,6778949647,French,155.2,1921-08-30,10,7
74,Veins Blood Fate,Noah Xu,UniversityPress,2046782566,Spanish,172.42,1903-04-30,10,13
